HARMO	Hz=60	MD=5	SEC=2	CT=3	VT=1	INPUT=I2	SYS=3P4W	NO.=51 	OPTION=%
DATE	 TIME	 RMS	 PEAK+	 PEAK-	 THD-F	 VI_1	 HZ	 RANGE	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
2012-06-08	  10:07:37	    148.0A	    207.6A	   -205.4A	      1,7%	    148.0A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,5	       1,1	       0,0	       1,1	       0,0	       0,5	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:39	    147.4A	    201.8A	   -205.4A	      1,8%	    147.4A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,5	       0,9	       0,0	       1,2	       0,0	       0,7	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:41	    149.1A	    207.6A	   -207.7A	      1,6%	    149.1A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       1,1	       0,0	       0,6	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:43	    148.1A	    206.4A	   -204.3A	      2,0%	    148.0A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,8	       1,4	       0,0	       1,1	       0,0	       0,6	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:45	    147.9A	    207.6A	   -203.1A	      2,4%	    147.9A	    60,0Hz	   0 to 50	       0,0	     100,0	       1,7	       1,2	       0,4	       1,1	       0,0	       0,6	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:47	    145.1A	    202.9A	   -200.8A	      1,8%	    145.1A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       1,2	       0,0	       1,2	       0,0	       0,6	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:49	    146.3A	    201.8A	   -202.0A	      1,9%	    146.3A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,6	       1,3	       0,0	       1,2	       0,0	       0,6	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,2	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:51	    145.7A	    200.6A	   -202.0A	      2,6%	    145.6A	    60,0Hz	   0 to 50	       0,0	     100,0	       1,7	       1,2	       0,2	       1,3	       0,2	       0,6	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:53	    146.4A	    204.1A	   -202.0A	      2,1%	    146.3A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,8	       1,4	       0,0	       1,2	       0,0	       0,6	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-08	  10:07:55	    146.5A	    204.1A	   -203.1A	      1,9%	    146.5A	    60,0Hz	   0 to 50	       0,0	     100,0	       0,4	       1,1	       0,0	       1,3	       0,0	       0,7	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
