HARMO	Hz=60	MD=5	SEC=2	CT=3	VT=1	INPUT=V3	SYS=3P4W	NO.=51 	OPTION=%
DATE	 TIME	 RMS	 PEAK+	 PEAK-	 THD-F	 VI_1	 HZ	 RANGE	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
2012-06-11	  12:23:06	    222.3V	    316.2V	   -312.7V	      4,3%	    222.1V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,2	       1,4	       0,0	       3,1	       0,0	       1,2	       0,0	       2,4	       0,0	       0,6	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:08	    224.0V	    317.7V	   -318.5V	      4,4%	    223.8V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       1,3	       0,0	       3,1	       0,0	       1,1	       0,0	       2,5	       0,0	       0,7	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:10	    221.3V	    313.2V	   -312.7V	      4,3%	    221.1V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       3,2	       0,0	       1,3	       0,0	       2,3	       0,0	       0,7	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:12	    221.0V	    316.2V	   -312.7V	      4,2%	    220.8V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       3,1	       0,0	       1,3	       0,0	       2,4	       0,0	       0,7	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:14	    220.9V	    316.2V	   -314.1V	      4,3%	    220.7V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,2	       0,9	       0,0	       3,3	       0,0	       1,3	       0,0	       2,4	       0,0	       0,6	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:16	    221.0V	    316.2V	   -312.7V	      4,3%	    220.8V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       3,2	       0,0	       1,3	       0,0	       2,4	       0,0	       0,7	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:18	    220.6V	    314.7V	   -312.7V	      4,3%	    220.4V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,7	       0,0	       3,3	       0,0	       1,3	       0,0	       2,3	       0,0	       0,7	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:20	    220.9V	    316.2V	   -312.7V	      4,4%	    220.7V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       3,3	       0,0	       1,3	       0,0	       2,4	       0,0	       0,6	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:22	    220.9V	    313.2V	   -312.7V	      4,3%	    220.7V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,8	       0,0	       3,2	       0,0	       1,3	       0,0	       2,3	       0,0	       0,7	       0,0	       0,4	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
2012-06-11	  12:23:24	    220.9V	    314.7V	   -312.7V	      4,3%	    220.7V	    60,0Hz	   0 to 50	       0,0	     100,0	       0,0	       0,9	       0,0	       3,3	       0,0	       1,3	       0,0	       2,3	       0,0	       0,7	       0,0	       0,3	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	       0,0	
